"State Historical Tables for 2017
Released: September 2018
Next Update: November 2019",,,,
YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION for ELECTRICITY
1994,CT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,140,724"
1994,DC,Total Electric Power Industry,Coal (Short Tons),0
1994,DC,Total Electric Power Industry,Petroleum (Barrels),"664,240"
1994,DC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"664,240"
1994,DC,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
1994,DE,Total Electric Power Industry,Coal (Short Tons),"2,096,069"
1994,DE,Total Electric Power Industry,Petroleum (Barrels),"3,444,279"
1994,DE,Total Electric Power Industry,Natural Gas (Mcf),"17,421,144"
1994,DE,Total Electric Power Industry,Other Gases (Billion BTU),958
1994,DE,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,006,579"
1994,DE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,726,516"
1994,DE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"17,398,927"
1994,DE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"89,490"
1994,DE,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"717,763"
1994,DE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"22,217"
1994,DE,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),958
1994,FL,Total Electric Power Industry,Coal (Short Tons),"25,968,800"
1994,FL,Total Electric Power Industry,Petroleum (Barrels),"54,325,273"
1994,FL,Total Electric Power Industry,Natural Gas (Mcf),"224,768,181"
1994,FL,Total Electric Power Industry,Other Gases (Billion BTU),299
1994,FL,"Electric Generators, Electric Utilities",Coal (Short Tons),"24,758,361"
1994,FL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"53,368,874"
1994,FL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"180,696,902"
1994,FL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"32,820"
1994,FL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,606,100"
1994,FL,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),55
1994,FL,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,090,360"
1994,FL,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"109,058"
1994,FL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"26,833,537"
1994,FL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"3,032"
1994,FL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,325,811"
1994,FL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"120,079"
1994,FL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"811,489"
1994,FL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"13,305,831"
1994,FL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),244
1994,GA,Total Electric Power Industry,Coal (Short Tons),"27,736,507"
1994,GA,Total Electric Power Industry,Petroleum (Barrels),"2,157,633"
1994,GA,Total Electric Power Industry,Natural Gas (Mcf),"6,577,121"
1994,GA,"Electric Generators, Electric Utilities",Coal (Short Tons),"27,293,070"
1994,GA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"357,553"
1994,GA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,027,835"
1994,GA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),400
1994,GA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"311,920"
1994,GA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"7,893"
1994,GA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),770
1994,GA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"443,437"
1994,GA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,791,787"
1994,GA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"5,236,596"
1994,HI,Total Electric Power Industry,Coal (Short Tons),"596,431"
1994,HI,Total Electric Power Industry,Petroleum (Barrels),"12,933,103"
1994,HI,Total Electric Power Industry,Other Gases (Billion BTU),913
1994,HI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"10,409,083"
1994,HI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"578,365"
1994,HI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"2,120,369"
1994,HI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"18,066"
1994,HI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"403,651"
1994,HI,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),913
1994,IA,Total Electric Power Industry,Coal (Short Tons),"17,166,997"
1994,IA,Total Electric Power Industry,Petroleum (Barrels),"248,021"
1994,IA,Total Electric Power Industry,Natural Gas (Mcf),"5,911,621"
1994,IA,"Electric Generators, Electric Utilities",Coal (Short Tons),"16,565,288"
1994,IA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"182,901"
1994,IA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,695,660"
1994,IA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"3,760"
1994,IA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"83,030"
1994,IA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"71,100"
1994,IA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"350,903"
1994,IA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"22,775"
1994,IA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"53,895"
1994,IA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"320,746"
1994,IA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"507,834"
1994,IA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"7,465"
1994,IA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,461,282"
1994,ID,Total Electric Power Industry,Coal (Short Tons),"23,970"
1994,ID,Total Electric Power Industry,Petroleum (Barrels),132
1994,ID,Total Electric Power Industry,Natural Gas (Mcf),"1,548,561"
1994,ID,"Electric Generators, Electric Utilities",Petroleum (Barrels),81
1994,ID,"Electric Generators, Electric Utilities",Natural Gas (Mcf),0
1994,ID,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"23,970"
1994,ID,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),51
1994,ID,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,548,561"
1994,IL,Total Electric Power Industry,Coal (Short Tons),"33,485,727"
1994,IL,Total Electric Power Industry,Petroleum (Barrels),"2,668,782"
1994,IL,Total Electric Power Industry,Natural Gas (Mcf),"43,805,759"
1994,IL,Total Electric Power Industry,Other Gases (Billion BTU),"2,290"
1994,IL,"Electric Generators, Electric Utilities",Coal (Short Tons),"32,598,795"
1994,IL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,610,616"
1994,IL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"34,505,200"
1994,IL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),100
1994,IL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"45,870"
1994,IL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"95,588"
1994,IL,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"13,172"
1994,IL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"5,772"
1994,IL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"2,205,619"
1994,IL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"873,760"
1994,IL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"52,294"
1994,IL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"6,953,482"
1994,IL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"2,290"
1994,IN,Total Electric Power Industry,Coal (Short Tons),"51,037,642"
1994,IN,Total Electric Power Industry,Petroleum (Barrels),"796,088"
1994,IN,Total Electric Power Industry,Natural Gas (Mcf),"16,993,158"
1994,IN,Total Electric Power Industry,Other Gases (Billion BTU),"30,535"
1994,IN,"Electric Generators, Electric Utilities",Coal (Short Tons),"50,554,092"
1994,IN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"411,520"
1994,IN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"9,009,267"
1994,IN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"55,866"
1994,IN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"5,554"
1994,IN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"237,837"
1994,IN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"427,684"
1994,IN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"379,014"
1994,IN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"7,746,054"
1994,IN,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"30,535"
1994,KS,Total Electric Power Industry,Coal (Short Tons),"16,988,899"
1994,KS,Total Electric Power Industry,Petroleum (Barrels),"189,857"
1994,KS,Total Electric Power Industry,Natural Gas (Mcf),"30,495,345"
1994,KS,"Electric Generators, Electric Utilities",Coal (Short Tons),"16,988,899"
1994,KS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"141,622"
1994,KS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"27,279,100"
1994,KS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"162,923"
1994,KS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"48,235"
1994,KS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,053,322"
1994,KY,Total Electric Power Industry,Coal (Short Tons),"34,563,779"
1994,KY,Total Electric Power Industry,Petroleum (Barrels),"317,180"
1994,KY,Total Electric Power Industry,Natural Gas (Mcf),"350,290"
1994,KY,"Electric Generators, Electric Utilities",Coal (Short Tons),"34,563,779"
1994,KY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"317,180"
1994,KY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"350,290"
1994,LA,Total Electric Power Industry,Coal (Short Tons),"13,501,592"
1994,LA,Total Electric Power Industry,Petroleum (Barrels),"4,218,067"
1994,LA,Total Electric Power Industry,Natural Gas (Mcf),"377,971,833"
1994,LA,Total Electric Power Industry,Other Gases (Billion BTU),"11,744"
1994,LA,"Electric Generators, Electric Utilities",Coal (Short Tons),"13,479,087"
1994,LA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,344,861"
1994,LA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"277,115,696"
1994,LA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"56,750"
1994,LA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,700,880"
1994,LA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"2,754,455"
1994,LA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"266,272"
1994,LA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"22,505"
1994,LA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"62,001"
1994,LA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"98,888,985"
1994,LA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"11,744"
1994,MA,Total Electric Power Industry,Coal (Short Tons),"3,883,990"
1994,MA,Total Electric Power Industry,Petroleum (Barrels),"16,417,193"
1994,MA,Total Electric Power Industry,Natural Gas (Mcf),"99,824,749"
1994,MA,"Electric Generators, Electric Utilities",Coal (Short Tons),"3,844,577"
1994,MA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"15,514,342"
1994,MA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"38,566,975"
1994,MA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"31,490"
1994,MA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"7,074,060"
1994,MA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"28,743"
1994,MA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"146,367"
1994,MA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"51,785,745"
1994,MA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"178,985"
1994,MA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"884,178"
1994,MA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"10,670"
1994,MA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"546,009"
1994,MA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,513,791"
1994,MD,Total Electric Power Industry,Coal (Short Tons),"9,822,116"
1994,MD,Total Electric Power Industry,Petroleum (Barrels),"7,923,430"
1994,MD,Total Electric Power Industry,Natural Gas (Mcf),"14,910,739"
1994,MD,Total Electric Power Industry,Other Gases (Billion BTU),"6,862"
1994,MD,"Electric Generators, Electric Utilities",Coal (Short Tons),"9,717,046"
1994,MD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"7,620,842"
1994,MD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"12,718,101"
1994,MD,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"284,659"
1994,MD,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,492,758"
1994,MD,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),"6,862"
1994,MD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),432
1994,MD,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"105,070"
1994,MD,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"17,497"
1994,MD,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"699,880"
1994,ME,Total Electric Power Industry,Coal (Short Tons),"331,829"
1994,ME,Total Electric Power Industry,Petroleum (Barrels),"3,217,582"
1994,ME,Total Electric Power Industry,Natural Gas (Mcf),"132,018"
1994,ME,Total Electric Power Industry,Other Gases (Billion BTU),30
1994,ME,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,293,733"
1994,ME,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"4,780"
1994,ME,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"131,910"
1994,ME,"Combined Heat and Power, Electric Power",Coal (Short Tons),"224,704"
1994,ME,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"36,147"
1994,ME,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"2,300"
1994,ME,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),108
1994,ME,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"107,125"
1994,ME,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,880,622"
1994,ME,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),30
1994,MI,Total Electric Power Industry,Coal (Short Tons),"32,140,160"
1994,MI,Total Electric Power Industry,Petroleum (Barrels),"1,656,519"
1994,MI,Total Electric Power Industry,Natural Gas (Mcf),"105,881,483"
1994,MI,Total Electric Power Industry,Other Gases (Billion BTU),43
1994,MI,"Electric Generators, Electric Utilities",Coal (Short Tons),"31,106,447"
1994,MI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,433,012"
1994,MI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"18,217,630"
1994,MI,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),0
1994,MI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"164,550"
1994,MI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"207,133"
1994,MI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"6,382"
1994,MI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"75,442,394"
1994,MI,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),34
1994,MI,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"68,054"
1994,MI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"7,126"
1994,MI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"710,142"
1994,MI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"758,526"
1994,MI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"209,999"
1994,MI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"11,346,767"
1994,MI,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),9
1994,MN,Total Electric Power Industry,Coal (Short Tons),"18,053,776"
1994,MN,Total Electric Power Industry,Petroleum (Barrels),"1,117,548"
1994,MN,Total Electric Power Industry,Natural Gas (Mcf),"8,180,168"
1994,MN,"Electric Generators, Electric Utilities",Coal (Short Tons),"17,045,631"
1994,MN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,101,287"
1994,MN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,826,466"
1994,MN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"22,150"
1994,MN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"3,419"
1994,MN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"796,893"
1994,MN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,008,145"
1994,MN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"12,842"
1994,MN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,534,659"
1994,MO,Total Electric Power Industry,Coal (Short Tons),"26,518,917"
1994,MO,Total Electric Power Industry,Petroleum (Barrels),"1,510,795"
1994,MO,Total Electric Power Industry,Natural Gas (Mcf),"4,690,670"
1994,MO,"Electric Generators, Electric Utilities",Coal (Short Tons),"26,375,273"
1994,MO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,486,003"
1994,MO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,350,816"
1994,MO,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"95,115"
1994,MO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"22,747"
1994,MO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"4,942"
1994,MO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"48,529"
1994,MO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"2,045"
1994,MO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"334,912"
1994,MS,Total Electric Power Industry,Coal (Short Tons),"4,018,279"
1994,MS,Total Electric Power Industry,Petroleum (Barrels),"1,774,317"
1994,MS,Total Electric Power Industry,Natural Gas (Mcf),"90,452,306"
1994,MS,"Electric Generators, Electric Utilities",Coal (Short Tons),"3,988,643"
1994,MS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,732,664"
1994,MS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"82,541,160"
1994,MS,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"69,000"
1994,MS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"150,000"
1994,MS,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"29,636"
1994,MS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"41,653"
1994,MS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"7,692,146"
1994,MT,Total Electric Power Industry,Coal (Short Tons),"10,780,515"
1994,MT,Total Electric Power Industry,Petroleum (Barrels),"45,784"
1994,MT,Total Electric Power Industry,Natural Gas (Mcf),"765,295"
1994,MT,"Electric Generators, Electric Utilities",Coal (Short Tons),"10,513,475"
1994,MT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"42,182"
1994,MT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"632,170"
1994,MT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"267,040"
1994,MT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,260"
1994,MT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,342"
1994,MT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"133,125"
1994,NC,Total Electric Power Industry,Coal (Short Tons),"22,703,640"
1994,NC,Total Electric Power Industry,Petroleum (Barrels),"966,998"
1994,NC,Total Electric Power Industry,Natural Gas (Mcf),"2,918,361"
1994,NC,"Electric Generators, Electric Utilities",Coal (Short Tons),"20,623,773"
1994,NC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"446,827"
1994,NC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"870,602"
1994,NC,"Electric Generators, Independent Power Producers",Coal (Short Tons),"299,260"
1994,NC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"53,150"
1994,NC,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,491,377"
1994,NC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"21,791"
1994,NC,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"543,039"
1994,NC,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"12,417"
1994,NC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,220"
1994,NC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"5,101"
1994,NC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"276,813"
1994,NC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"497,160"
1994,NC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,446,469"
1994,ND,Total Electric Power Industry,Coal (Short Tons),"23,300,438"
1994,ND,Total Electric Power Industry,Petroleum (Barrels),"138,496"
1994,ND,Total Electric Power Industry,Natural Gas (Mcf),"3,312"
1994,ND,Total Electric Power Industry,Other Gases (Billion BTU),521
1994,ND,"Electric Generators, Electric Utilities",Coal (Short Tons),"23,247,891"
1994,ND,"Electric Generators, Electric Utilities",Petroleum (Barrels),"112,104"
1994,ND,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,669"
1994,ND,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"52,547"
1994,ND,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"26,392"
1994,ND,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),643
1994,ND,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),521
1994,NE,Total Electric Power Industry,Coal (Short Tons),"8,896,462"
1994,NE,Total Electric Power Industry,Petroleum (Barrels),"45,293"
1994,NE,Total Electric Power Industry,Natural Gas (Mcf),"3,062,168"
1994,NE,"Electric Generators, Electric Utilities",Coal (Short Tons),"8,878,896"
1994,NE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"45,293"
1994,NE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,060,774"
1994,NE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"17,566"
1994,NE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,394"
1994,NH,Total Electric Power Industry,Coal (Short Tons),"1,278,667"
1994,NH,Total Electric Power Industry,Petroleum (Barrels),"2,553,891"
1994,NH,Total Electric Power Industry,Natural Gas (Mcf),"1,276,588"
1994,NH,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,278,667"
1994,NH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,441,802"
1994,NH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,276,588"
1994,NH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,810"
1994,NH,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"24,989"
1994,NH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"27,685"
1994,NH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"56,605"
1994,NJ,Total Electric Power Industry,Coal (Short Tons),"2,270,007"
1994,NJ,Total Electric Power Industry,Petroleum (Barrels),"4,402,954"
1994,NJ,Total Electric Power Industry,Natural Gas (Mcf),"151,961,511"
1994,NJ,Total Electric Power Industry,Other Gases (Billion BTU),730
1994,NJ,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,887,110"
1994,NJ,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,228,733"
1994,NJ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"42,625,466"
1994,NJ,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"44,400"
1994,NJ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"6,266,870"
1994,NJ,"Combined Heat and Power, Electric Power",Coal (Short Tons),"382,897"
1994,NJ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"730,480"
1994,NJ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"83,027,765"
1994,NJ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"11,431"
1994,NJ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,071,560"
1994,NJ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"387,910"
1994,NJ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"18,969,850"
1994,NJ,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),730
1994,NM,Total Electric Power Industry,Coal (Short Tons),"15,297,362"
1994,NM,Total Electric Power Industry,Petroleum (Barrels),"51,854"
1994,NM,Total Electric Power Industry,Natural Gas (Mcf),"35,958,083"
1994,NM,"Electric Generators, Electric Utilities",Coal (Short Tons),"15,297,362"
1994,NM,"Electric Generators, Electric Utilities",Petroleum (Barrels),"46,683"
1994,NM,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"32,213,832"
1994,NM,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"52,066"
1994,NM,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"195,528"
1994,NM,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"5,171"
1994,NM,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,496,657"
1994,NV,Total Electric Power Industry,Coal (Short Tons),"7,772,004"
1994,NV,Total Electric Power Industry,Petroleum (Barrels),"289,882"
1994,NV,Total Electric Power Industry,Natural Gas (Mcf),"51,857,115"
1994,NV,"Electric Generators, Electric Utilities",Coal (Short Tons),"7,772,004"
1994,NV,"Electric Generators, Electric Utilities",Petroleum (Barrels),"287,362"
1994,NV,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"32,246,035"
1994,NV,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,520"
1994,NV,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"810,000"
1994,NV,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"18,801,080"
1994,NY,Total Electric Power Industry,Coal (Short Tons),"9,512,002"
1994,NY,Total Electric Power Industry,Petroleum (Barrels),"20,673,523"
1994,NY,Total Electric Power Industry,Natural Gas (Mcf),"307,227,795"
1994,NY,Total Electric Power Industry,Other Gases (Billion BTU),"1,824"
1994,NY,"Electric Generators, Electric Utilities",Coal (Short Tons),"8,395,096"
1994,NY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"18,664,447"
1994,NY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"182,520,870"
1994,NY,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"69,250"
1994,NY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"562,650"
1994,NY,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),11
1994,NY,"Combined Heat and Power, Electric Power",Coal (Short Tons),"702,579"
1994,NY,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,253,085"
1994,NY,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"95,257,233"
1994,NY,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"6,796"
1994,NY,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"68,817"
1994,NY,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"6,839,153"
1994,NY,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"407,531"
1994,NY,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"617,924"
1994,NY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"22,047,889"
1994,NY,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"1,813"
